代码	名称	日期	open	high	low	close	成交额(百万)	成交量(股)	macd	rsi_6	kdj	cci	sma10	ema10	
399300.SZ	沪深300	2014/2/13	2288.45	2307.47	2278.26	2279.55	87352.13	9621779200	-3.489403857	65.51053139	81.57519515	133.2778515	2244.806	2252.954912	-1
399300.SZ	沪深300	2014/2/14	2278.4	2295.85	2274.43	2295.58	64613.33	6708299600	0.437116538	70.63929338	84.67626487	113.1257127	2249.796	2260.704928	1
399300.SZ	沪深300	2014/2/17	2308.79	2315.58	2293.55	2311.65	86871.35	8783166400	4.790406117	75.09464843	88.83805495	127.4997306	2259.369	2269.967668	1
399300.SZ	沪深300	2014/2/18	2310.31	2310.31	2276.11	2282.44	88107.26	8704974400	5.816369108	56.42021357	84.58046651	76.09921835	2265.627	2272.235365	-1
399300.SZ	沪深300	2014/2/19	2280.93	2317.42	2274.15	2308.66	88341.9	9935256000	8.64552679	65.62750539	87.63905655	83.06820298	2273.715	2278.858026	1
399300.SZ	沪深300	2014/2/20	2314.09	2331.7	2286.2	2287.44	91771.59	10643953600	9.070815266	54.45440361	78.36673003	74.96774895	2282.214	2280.418385	-1
399300.SZ	沪深300	2014/2/21	2284.03	2287.87	2250.65	2264.29	69908.19	7636899200	7.453923727	44.52957024	57.85419263	3.86236168	2287.395	2277.485951	-1
399300.SZ	沪深300	2014/2/24	2246.72	2246.72	2194.16	2214.51	79599.14	8921593600	2.131129231	30.2860353	43.50136035	-99.87434954	2282.093	2266.035778	-1
399300.SZ	沪深300	2014/2/25	2216.51	2225.21	2150.1	2157.91	88306.57	9323755200	-6.578537445	21.08427762	30.4344605	-156.1817676	2269.328	2246.376546	-1
399300.SZ	沪深300	2014/2/26	2147.74	2164.7	2137.08	2163.41	68640.58	7799329600	-12.88863484	23.78449785	24.79928305	-168.1138649	2256.544	2231.291719	1
399300.SZ	沪深300	2014/2/27	2170.81	2180.06	2150.14	2154.11	81588	9010429600	-18.42744465	22.24038361	19.44965049	-140.7836828	2244	2217.258679	-1
399300.SZ	沪深300	2014/2/28	2149.45	2180.47	2133.55	2178.97	70216.8	7666805600	-20.57383474	35.64277189	20.60710992	-107.3405444	2232.339	2210.297101	1
399300.SZ	沪深300	2014/3/3	2173.91	2194.22	2167.91	2190.37	69408.74	8207231200	-21.11161803	41.21793876	23.29648862	-69.0948011	2220.211	2206.673992	1
399300.SZ	沪深300	2014/3/4	2183.86	2188.6	2161.59	2184.27	64691.44	7306924800	-21.77897966	39.04602016	24.06324912	-65.38592344	2210.394	2202.600539	-1
399300.SZ	沪深300	2014/3/5	2187.35	2189.09	2159.6	2163.98	55669.68	6133201600	-23.67222334	32.2607752	22.61508815	-64.64972684	2195.926	2195.578623	-1
399300.SZ	沪深300	2014/3/6	2159.4	2181.43	2136.45	2173.63	61495.02	6909376800	-24.11596441	38.37283326	26.88197417	-65.20098156	2184.545	2191.587964	1
399300.SZ	沪深300	2014/3/7	2170.04	2189.39	2161.44	2168.36	58693.18	6426517600	-24.60919785	36.23050422	30.5804186	-47.4408635	2174.952	2187.364698	-1
399300.SZ	沪深300	2014/3/10	2149.68	2149.68	2095.07	2097.79	63086.41	7141640800	-30.34470328	19.09758207	21.30138513	-122.6589845	2163.28	2171.078389	-1
399300.SZ	沪深300	2014/3/11	2092.61	2118.79	2088.73	2108.66	53075.78	5762124400	-33.6254018	25.60063054	20.49851877	-142.8908888	2158.355	2159.729591	1
399300.SZ	沪深300	2014/3/12	2102.8	2130.59	2090.76	2114.13	60115.24	7006974400	-35.3762009	29.04475639	21.6917164	-132.0722367	2153.427	2151.438756	1
399300.SZ	沪深300	2014/3/13	2119.55	2149.44	2115.99	2140.33	59163.1	6922603200	-34.25473352	43.95654858	30.76600729	-63.19372503	2152.049	2149.418983	1
399300.SZ	沪深300	2014/3/14	2129.87	2140.38	2109.58	2122.84	49805.25	5861773600	-34.38093733	37.62273253	31.80612156	-76.24170413	2146.436	2144.58644	-1
399300.SZ	沪深300	2014/3/17	2132.79	2143.2	2118.95	2143.04	47571.29	5240944400	-32.47661339	48.00607684	39.18871578	-37.78314852	2141.703	2144.305269	1
399300.SZ	沪深300	2014/3/18	2146.12	2152.46	2134.92	2138.13	54188.44	5535413200	-31.00619875	45.78313644	42.48450977	-15.84753312	2137.089	2143.182493	-1
399300.SZ	沪深300	2014/3/19	2131.28	2131.28	2101.28	2120.87	55283.94	5930390400	-30.8776836	38.30162493	38.96609546	-73.25418265	2132.778	2139.125676	-1
399300.SZ	沪深300	2014/3/20	2116.19	2134.79	2086.5	2086.97	58951.6	6763128800	-33.12938616	27.65171328	26.21491466	-100.4190073	2124.112	2129.642826	-1
399300.SZ	沪深300	2014/3/21	2079.87	2163.23	2077.76	2158.8	83560.51	10402480800	-28.78596923	57.61657465	49.08224138	-9.534458763	2123.156	2134.94413	1
399300.SZ	沪深300	2014/3/24	2161.9	2186.73	2150.87	2176.55	81203.91	10449198400	-23.6390076	62.25259049	62.94082067	116.9097662	2131.032	2142.508834	1
399300.SZ	沪深300	2014/3/25	2170.78	2191.49	2164.67	2174.44	67548.47	8687751200	-19.5054165	61.29617288	70.29666482	129.9963522	2137.61	2148.3145	-1
399300.SZ	沪深300	2014/3/26	2181.23	2186.08	2165.22	2171.05	50116.02	5827617600	-16.31499137	59.53279695	74.20697963	113.7109764	2143.302	2152.448228	-1
399300.SZ	沪深300	2014/3/27	2168.34	2186.89	2146.92	2155.71	62175.86	7127513600	-14.85314842	51.48945147	72.31782756	85.98734618	2144.84	2153.041277	-1
399300.SZ	沪深300	2014/3/28	2154.51	2172.67	2144.58	2151.97	60123.34	7008607200	-13.8369108	49.53155429	69.96222943	54.00018621	2147.753	2152.846499	-1
399300.SZ	沪深300	2014/3/31	2156.05	2165.25	2134.42	2146.31	48105.02	5545748800	-13.33453761	46.33207405	66.73293093	21.61039106	2148.08	2151.658045	-1
399300.SZ	沪深300	2014/4/1	2143.72	2170.1	2141.15	2163.12	43659.06	4886640400	-11.44801118	56.37509745	69.50693886	45.07060417	2150.579	2153.742037	1
399300.SZ	沪深300	2014/4/2	2166.07	2182.68	2164.01	2180.73	56777.15	6503925600	-8.434715412	64.68323172	76.51762453	93.40885709	2156.565	2158.648939	1
399300.SZ	沪深300	2014/4/3	2188.64	2196.14	2160.75	2165.01	57708.86	7153603200	-7.231766133	53.72333559	67.53259652	76.68675525	2164.369	2159.805496	-1
399300.SZ	沪深300	2014/4/4	2157.98	2186.15	2155.28	2185.47	43912.62	4794588800	-4.574734463	63.40712954	72.59248064	73.77618001	2167.036	2164.471769	1
399300.SZ	沪深300	2014/4/8	2179.92	2243.97	2178.91	2237.32	85692.9	9721912000	1.695301568	77.63774064	79.70489124	189.6089438	2173.113	2177.716902	1
399300.SZ	沪深300	2014/4/9	2239.79	2246.79	2228.99	2238.62	61178.63	6635726800	6.692106988	77.89636334	84.04638622	210.8633887	2179.531	2188.790193	1
399300.SZ	沪深300	2014/4/10	2241.45	2290.74	2229.51	2273.76	101616.82	11454540800	13.33391059	83.9262366	85.74347959	216.8068201	2189.802	2204.239249	1
399300.SZ	沪深300	2014/4/11	2269.57	2281.11	2261.13	2270.67	86154.86	9061589600	18.13915374	81.57792842	86.21597036	162.0312524	2201.298	2216.317567	-1
399300.SZ	沪深300	2014/4/14	2267.94	2275.83	2255.46	2268.61	60254.15	6226500000	21.5329009	79.79182851	85.87939036	118.1306498	2212.962	2225.825282	-1
399300.SZ	沪深300	2014/4/15	2261.41	2261.47	2225.69	2229.46	62599.12	6821812800	20.8233535	53.218682	75.50677798	59.95783808	2221.277	2226.48614	-1
399300.SZ	沪深300	2014/4/16	2223.47	2245.32	2221.15	2232.53	47770.22	5167800800	20.27503741	54.64017203	69.34715363	43.39172355	2228.218	2227.585024	1
399300.SZ	沪深300	2014/4/17	2238.78	2241.62	2221.95	2224.8	45096.43	4833362800	18.9977523	50.04545886	63.33857685	31.65771056	2232.625	2227.078656	-1
399300.SZ	沪深300	2014/4/18	2215.88	2228.77	2203.05	2224.48	45709.62	5075799600	17.75500468	49.83727247	55.80883513	6.832678674	2238.572	2226.606173	-1
399300.SZ	沪深300	2014/4/21	2209.94	2231.71	2186.75	2187.25	51856.11	5627828000	13.60909125	31.52700502	37.36616191	-38.02908116	2238.75	2219.450505	-1
399300.SZ	沪深300	2014/4/22	2184.02	2196.85	2165.08	2196.8	52351.99	5709469600	10.96760248	38.483977	33.32501409	-83.33832741	2234.698	2215.332231	1
399300.SZ	沪深300	2014/4/23	2191.23	2205.59	2187.39	2194.67	45191.15	4776353200	8.60315854	37.46518326	30.71735117	-67.12883561	2230.303	2211.575462	-1
399300.SZ	沪深300	2014/4/24	2192.77	2209.45	2186.76	2190.47	41927.01	4505891200	6.317589546	35.25667701	28.12007008	-76.30643759	2221.974	2207.738105	-1
399300.SZ	沪深300	2014/4/25	2195.82	2201.71	2167.64	2167.83	52092.02	6024538400	2.648866379	25.5240718	19.69771107	-122.4640768	2211.69	2200.482086	-1
399300.SZ	沪深300	2014/4/28	2165.77	2171.39	2132.7	2134.97	49998.81	6048518800	-2.876986431	17.23673334	13.80368331	-162.1437116	2198.326	2188.570798	-1
399300.SZ	沪深300	2014/4/29	2134.41	2159.38	2131.78	2158.47	41550.35	4820493200	-5.298928246	35.272529	17.30211565	-125.3469474	2191.227	2183.097925	1
399300.SZ	沪深300	2014/4/30	2158.76	2164.18	2153.12	2158.66	39493.02	4533462400	-7.120917665	35.40909295	20.50102016	-95.38856049	2183.84	2178.654666	1
399300.SZ	沪深300	2014/5/5	2152.59	2161.7	2131.23	2156.47	41470.45	4934407200	-8.641953049	34.40507454	22.04048902	-103.6119493	2177.007	2174.621091	-1
399300.SZ	沪深300	2014/5/6	2151.39	2173.62	2150.11	2157.33	41486.45	4808652000	-9.666559654	35.26997913	25.81613442	-69.40454128	2170.292	2171.477256	1
399300.SZ	沪深300	2014/5/7	2151.47	2153.72	2136.99	2137.32	37751.02	4460747200	-11.95539321	25.77927328	19.80600046	-98.04893119	2165.299	2165.266846	-1
399300.SZ	沪深300	2014/5/8	2132.04	2168.21	2128.32	2135.5	40729.77	4833245200	-13.75758026	25.04374705	16.15399825	-83.05536002	2159.169	2159.854692	-1
399300.SZ	沪深300	2014/5/9	2138.84	2141.56	2120.6	2133.91	40242.74	4918113600	-15.13960624	24.31641289	16.23927011	-103.2969046	2153.093	2155.137475	-1
399300.SZ	沪深300	2014/5/12	2150.31	2184.33	2139.48	2180.05	66275.51	8347256000	-12.36917523	62.37152504	41.9209026	10.01481988	2152.051	2159.667025	1
399300.SZ	沪深300	2014/5/13	2180.06	2185.05	2167.77	2174.85	50241.28	6491252000	-10.47246519	58.40022399	56.00519444	48.83225763	2152.753	2162.427566	-1
399300.SZ	沪深300	2014/5/14	2175.09	2184.22	2169	2172.37	39214.12	4851420800	-9.064929224	56.3469521	64.11207429	51.89372659	2156.493	2164.235281	-1
399300.SZ	沪深300	2014/5/15	2169.28	2171.45	2142.34	2144.08	38938.53	4673403200	-10.11560698	38.03946149	54.88516357	-31.64341904	2155.054	2160.570685	-1
399300.SZ	沪深300	2014/5/16	2143.93	2150.5	2132.19	2145.95	34987.59	4225319600	-10.6743362	39.59618912	49.70104776	-70.28625878	2153.783	2157.912378	1
399300.SZ	沪深300	2014/5/19	2139.36	2139.36	2105.71	2115.14	37135.95	4289360800	-13.44821993	26.4549618	37.09588378	-176.0758671	2149.65	2150.135582	-1
399300.SZ	沪深300	2014/5/20	2124.71	2131.57	2110.72	2115.77	31576.34	3729968400	-15.41797818	27.04904004	28.95712477	-147.0740711	2145.494	2143.887295	1
399300.SZ	沪深300	2014/5/21	2106.76	2136.1	2096.51	2135.91	32246.81	3894604000	-15.17892293	44.30704814	34.13797024	-106.0439589	2145.353	2142.436877	1
